customer_id,trans_date,response,month,tran_amount,month_year
CS5295,11-02-2013,1,2,35,2013-02
CS4768,15-03-2015,1,3,39,2015-03
CS2122,26-02-2013,0,2,52,2013-02
CS1217,16-11-2011,0,11,99,2011-11
CS1850,20-11-2013,0,11,78,2013-11
CS5539,26-03-2014,0,3,81,2014-03
CS2724,06-02-2012,0,2,93,2012-02
CS5902,30-01-2015,0,1,89,2015-01
CS6040,08-01-2013,0,1,76,2013-01
CS3802,20-08-2013,1,8,75,2013-08
CS3494,02-07-2013,0,7,94,2013-07
CS3780,25-03-2013,0,3,80,2013-03
CS1171,03-11-2012,0,11,59,2012-11
CS2892,12-05-2013,0,5,43,2013-05
CS5552,29-12-2014,0,12,78,2014-12
CS6043,15-01-2014,0,1,98,2014-01
CS4147,08-07-2013,0,7,81,2013-07
CS4655,30-12-2013,0,12,93,2013-12
CS3904,20-07-2014,0,7,103,2014-07
CS4102,09-07-2011,0,7,96,2011-07
CS2086,05-03-2013,0,3,75,2013-03
CS6085,09-01-2013,0,1,49,2013-01
CS1328,06-02-2013,0,2,54,2013-02
CS4564,27-03-2012,0,3,48,2012-03
CS5910,01-01-2012,0,1,98,2012-01
CS2748,23-03-2013,1,3,37,2013-03
CS5147,29-04-2013,0,4,72,2013-04
CS1770,02-11-2012,0,11,83,2012-11
CS3510,24-10-2011,0,10,81,2011-10
CS2509,05-12-2011,0,12,105,2011-12
CS2859,27-02-2015,0,2,77,2015-02
CS1512,21-02-2015,0,2,71,2015-02
CS4148,22-08-2013,0,8,48,2013-08
CS1735,31-03-2012,0,3,70,2012-03
CS1588,27-01-2012,0,1,70,2012-01
CS5514,09-01-2013,1,1,36,2013-01
CS5933,07-10-2013,0,10,48,2013-10
CS2797,06-03-2014,1,3,87,2014-03
CS5313,02-12-2012,0,12,88,2012-12
CS5966,09-03-2012,0,3,39,2012-03
CS5211,18-05-2014,0,5,51,2014-05
CS1511,13-01-2015,0,1,47,2015-01
CS6087,24-11-2014,0,11,37,2014-11
CS5909,04-02-2012,0,2,80,2012-02
CS2845,08-03-2013,0,3,105,2013-03
CS1433,05-11-2012,0,11,78,2012-11
CS4897,12-04-2014,1,4,45,2014-04
CS2296,28-12-2012,0,12,79,2012-12
CS1494,29-06-2013,0,6,59,2013-06
CS3688,19-06-2014,0,6,55,2014-06
CS2287,23-12-2011,0,12,94,2011-12
CS3779,26-06-2011,0,6,69,2011-06
CS1423,05-06-2014,0,6,78,2014-06
CS2501,14-11-2012,1,11,59,2012-11
CS3434,22-02-2013,0,2,98,2013-02
CS2662,31-08-2014,0,8,88,2014-08
CS2209,12-03-2012,0,3,35,2012-03
CS4530,05-06-2011,0,6,40,2011-06
CS2848,04-02-2013,0,2,53,2013-02
CS2596,19-09-2011,0,9,55,2011-09
CS4421,20-05-2012,0,5,86,2012-05
CS4905,13-04-2012,0,4,93,2012-04
CS5704,04-12-2011,0,12,79,2011-12
CS2403,27-07-2014,1,7,94,2014-07
CS5480,28-01-2012,1,1,63,2012-01
CS5811,23-08-2013,1,8,91,2013-08
CS2051,09-12-2014,0,12,101,2014-12
CS3957,30-08-2012,0,8,69,2012-08
CS4704,25-11-2014,0,11,41,2014-11
CS2289,19-05-2012,0,5,67,2012-05
CS5218,21-06-2014,0,6,45,2014-06
CS4637,20-05-2011,1,5,71,2011-05
CS3158,06-05-2012,0,5,91,2012-05
CS4176,30-07-2012,0,7,49,2012-07
CS1939,25-11-2011,0,11,101,2011-11
CS5403,01-12-2011,0,12,64,2011-12
CS5489,02-12-2014,0,12,77,2014-12
CS4563,30-05-2011,0,5,101,2011-05
CS3508,23-05-2012,0,5,67,2012-05
CS2703,12-10-2014,1,10,40,2014-10
CS2596,01-05-2013,0,5,76,2013-05
CS5990,19-10-2012,0,10,103,2012-10
CS4215,09-07-2011,0,7,54,2011-07
CS4811,26-01-2012,1,1,77,2012-01
CS2070,30-01-2013,0,1,41,2013-01
CS3419,29-01-2015,0,1,38,2015-01
CS3668,14-08-2014,0,8,102,2014-08
CS4623,27-09-2013,1,9,89,2013-09
CS4708,02-07-2013,0,7,48,2013-07
CS1816,22-09-2013,0,9,64,2013-09
CS5376,08-12-2013,0,12,44,2013-12
CS4568,15-11-2011,0,11,70,2011-11
